orderId_2,cartId,productId
201,86,103
202,50,137
203,8,129
204,32,200
205,40,196
206,60,138
207,52,157
208,27,166
209,56,106
210,82,107
211,66,154
212,30,111
213,7,118
214,100,194
215,22,101
216,1,165
217,45,152
218,67,176
219,43,128
220,74,165
221,45,159
222,79,161
223,7,135
224,27,142
225,70,130
226,48,148
227,18,160
228,26,143
229,22,162
230,65,111
231,96,178
232,79,181
233,65,121
234,88,155
235,45,132
236,34,156
237,90,102
238,79,154
239,11,173
240,73,123
241,30,142
242,98,110
243,72,192
244,99,136
245,58,129
246,46,174
247,56,134
248,15,134
249,63,169
250,81,183
251,82,107
252,33,197
253,72,199
254,9,136
255,62,117
256,3,197
257,76,166
258,10,190
259,42,161
260,27,104
261,99,191
262,79,124
263,70,156
264,80,111
265,44,174
266,47,156
267,79,184
268,58,183
269,2,148
270,50,157
271,73,117
272,9,132
273,73,161
274,25,102
275,85,175
276,91,176
277,4,101
278,97,115
279,92,180
280,61,163
281,27,128
282,42,120
283,98,165
284,46,188
285,2,188
286,5,132
287,93,132
288,77,165
289,99,106
290,46,176
291,89,182
292,39,136
293,12,109
294,23,174
295,96,155
296,42,193
297,13,177
298,15,147
299,52,142
300,82,177
301,66,188
302,5,169
303,49,133
304,31,185
305,90,117
306,2,112
307,9,186
308,16,111
309,14,200
310,41,105
311,100,144
312,16,157
313,97,133
314,87,123
315,90,157
316,67,111
317,2,191
318,67,121
319,68,198
320,75,122
321,9,162
322,77,198
323,76,167
324,9,184
325,45,200
326,63,190
327,46,111
328,97,141
329,50,155
330,42,102
331,6,150
332,63,133
333,82,145
334,14,150
335,84,122
336,60,121
337,65,191
338,24,151
339,48,113
340,41,143
341,70,146
342,96,129
343,58,153
344,71,189
345,87,183
346,94,142
347,59,163
348,65,198
349,15,186
350,36,128
351,97,169
352,96,130
353,65,142
354,72,187
355,47,153
356,76,195
357,10,118
358,42,180
359,97,167
360,79,181
361,85,113
362,25,155
363,17,155
364,59,117
365,72,195
366,34,196
367,97,196
368,25,152
369,34,112
370,59,119
371,71,166
372,12,121
373,62,160
374,27,117
375,41,111
376,61,181
377,16,108
378,77,187
379,17,135
380,90,173
381,73,178
382,25,108
383,51,172
384,41,140
385,15,119
386,95,176
387,58,145
388,42,182
389,93,164
390,9,134
391,42,174
392,99,199
393,15,197
394,52,174
395,92,187
396,100,167
397,49,182
398,76,166
399,4,188
400,66,104
401,46,103
402,13,185
403,24,171
404,71,181
405,20,180
406,42,163
407,21,145
408,77,142
409,26,121
410,90,119
411,50,106
412,45,176
413,48,123
414,71,198
415,15,104
416,31,148
417,15,186
418,43,179
419,57,155
420,65,119
421,86,150
422,60,119
423,38,140
424,39,158
425,58,116
426,10,177
427,97,147
428,65,176
429,5,185
430,13,136
431,65,102
432,45,185
433,44,140
434,64,180
435,31,151
436,78,145
437,41,200
438,78,173
439,37,144
440,74,104
441,21,169
442,42,127
443,5,114
444,64,146
445,73,107
446,13,160
447,11,142
448,80,173
449,89,118
450,69,157
451,31,118
452,85,109
453,45,180
454,39,153
455,38,169
456,76,120
457,44,190
458,77,101
459,48,146
460,55,173
461,59,158
462,32,135
463,52,114
464,50,183
465,41,128
466,10,188
467,50,168
468,61,102
469,22,143
470,45,157
471,24,185
472,68,122
473,42,120
474,37,109
475,49,121
476,79,112
477,43,123
478,75,113
479,33,128
480,13,127
481,35,186
482,36,151
483,32,158
484,64,200
485,8,149
486,65,185
487,36,157
488,100,103
489,23,190
490,49,163
491,86,114
492,73,145
493,54,150
494,74,193
495,12,136
496,64,185
497,59,135
498,32,142
499,10,131
500,88,160
501,96,133
502,52,130
503,60,192
504,69,145
505,35,175
506,22,162
507,42,178
508,18,172
509,100,156
510,97,155
511,37,139
512,45,175
513,30,147
514,39,175
515,61,134
516,8,108
517,19,173
518,36,184
519,4,110
520,11,155
521,94,149
522,23,184
523,23,191
524,48,150
525,48,134
526,15,198
527,64,160
528,18,174
529,5,139
530,65,160
531,33,131
532,6,192
533,35,107
534,22,138
535,76,188
536,49,191
537,44,114
538,81,144
539,72,145
540,42,123
541,21,197
542,63,193
543,3,180
544,26,124
545,24,182
546,35,121
547,15,162
548,1,133
549,86,183
550,69,121
551,71,138
552,46,115
553,58,109
554,40,198
555,91,173
556,100,150
557,27,143
558,39,155
559,18,183
560,14,157
561,13,171
562,59,131
563,77,133
564,44,168
565,45,122
566,3,196
567,96,156
568,4,163
569,30,187
570,63,111
571,21,116
572,98,109
573,36,153
574,81,185
575,100,192
576,5,162
577,18,149
578,97,186
579,22,144
580,64,191
581,94,166
582,97,200
583,38,139
584,68,155
585,78,124
586,8,127
587,28,191
588,35,126
589,48,138
590,18,180
591,87,179
592,92,178
593,5,147
594,25,141
595,50,124
596,15,166
597,87,172
598,25,146
599,92,197
600,34,154
601,5,159
602,6,179
603,64,179
604,12,116
605,68,164
606,61,178
607,43,137
608,3,138
609,67,181
610,23,162
611,22,111
612,92,102
613,97,180
614,21,188
615,47,141
616,82,195
617,82,169
618,65,144
619,1,198
620,93,118
621,20,186
622,46,169
623,56,171
624,33,117
625,88,180
626,43,148
627,12,194
628,15,155
629,53,107
630,38,196
631,58,183
632,59,140
633,12,159
634,25,174
635,16,103
636,7,190
637,78,120
638,11,131
639,29,142
640,41,172
641,88,175
642,24,127
643,99,184
644,89,147
645,65,162
646,86,137
647,36,198
648,42,150
649,28,184
650,29,178
651,64,129
652,81,124
653,55,167
654,38,133
655,6,199
656,45,147
657,23,150
658,81,167
659,58,171
660,11,181
661,27,105
662,77,118
663,28,198
664,30,114
665,88,167
666,95,135
667,49,128
668,41,119
669,85,168
670,24,145
671,88,184
672,55,200
673,43,175
674,49,102
675,9,102
676,33,170
677,40,175
678,26,189
679,43,148
680,27,112
681,1,129
682,37,113
683,69,158
684,7,160
685,59,189
686,17,175
687,27,179
688,94,168
689,72,191
690,29,134
691,78,158
692,45,171
693,77,168
694,72,148
695,56,110
696,6,139
697,76,110
698,39,196
699,63,194
700,20,135
